language_background,allsstar_file
CMN,ALL_005_M_CMN_ENG_HT1_01_S001
CMN,ALL_005_M_CMN_ENG_HT1_01_S002
CMN,ALL_005_M_CMN_ENG_HT1_01_S003
CMN,ALL_005_M_CMN_ENG_HT1_01_S004
CMN,ALL_005_M_CMN_ENG_HT1_01_S005
CMN,ALL_005_M_CMN_ENG_HT1_01_S006
CMN,ALL_005_M_CMN_ENG_HT1_01_S007
CMN,ALL_005_M_CMN_ENG_HT1_01_S008
CMN,ALL_005_M_CMN_ENG_HT1_01_S012
CMN,ALL_005_M_CMN_ENG_HT1_01_S015
CMN,ALL_005_M_CMN_ENG_HT1_01_S017
CMN,ALL_005_M_CMN_ENG_HT1_01_S018
CMN,ALL_005_M_CMN_ENG_HT1_01_S021
CMN,ALL_005_M_CMN_ENG_HT1_01_S022
CMN,ALL_005_M_CMN_ENG_HT1_01_S023
CMN,ALL_005_M_CMN_ENG_HT1_01_S024
CMN,ALL_005_M_CMN_ENG_HT1_01_S025
CMN,ALL_005_M_CMN_ENG_HT1_01_S026
CMN,ALL_005_M_CMN_ENG_HT1_01_S027
CMN,ALL_005_M_CMN_ENG_HT1_01_S028
CMN,ALL_005_M_CMN_ENG_HT1_01_S029
CMN,ALL_005_M_CMN_ENG_HT1_01_S030
CMN,ALL_005_M_CMN_ENG_HT1_01_S031
CMN,ALL_005_M_CMN_ENG_HT1_01_S032
CMN,ALL_005_M_CMN_ENG_HT1_01_S033
CMN,ALL_005_M_CMN_ENG_HT1_01_S035
CMN,ALL_005_M_CMN_ENG_HT1_01_S036
CMN,ALL_005_M_CMN_ENG_HT1_01_S037
CMN,ALL_005_M_CMN_ENG_HT1_01_S038
CMN,ALL_005_M_CMN_ENG_HT1_01_S039
CMN,ALL_005_M_CMN_ENG_HT1_01_S041
CMN,ALL_005_M_CMN_ENG_HT1_01_S042
CMN,ALL_005_M_CMN_ENG_HT1_01_S043
CMN,ALL_005_M_CMN_ENG_HT1_01_S044
CMN,ALL_005_M_CMN_ENG_HT1_01_S045
CMN,ALL_005_M_CMN_ENG_HT1_01_S046
CMN,ALL_005_M_CMN_ENG_HT1_01_S047
CMN,ALL_005_M_CMN_ENG_HT1_01_S048
CMN,ALL_005_M_CMN_ENG_HT1_01_S049
CMN,ALL_005_M_CMN_ENG_HT1_01_S050
CMN,ALL_005_M_CMN_ENG_HT1_01_S051
CMN,ALL_005_M_CMN_ENG_HT1_01_S052
CMN,ALL_005_M_CMN_ENG_HT1_01_S053
CMN,ALL_005_M_CMN_ENG_HT1_01_S054
CMN,ALL_005_M_CMN_ENG_HT1_01_S055
CMN,ALL_005_M_CMN_ENG_HT1_01_S056
CMN,ALL_005_M_CMN_ENG_HT1_01_S058
CMN,ALL_005_M_CMN_ENG_HT1_01_S059
CMN,ALL_005_M_CMN_ENG_HT1_01_S060
CMN,ALL_005_M_CMN_ENG_HT1_02_S057
CMN,ALL_005_M_CMN_ENG_HT2_01_S061
CMN,ALL_005_M_CMN_ENG_HT2_01_S062
CMN,ALL_005_M_CMN_ENG_HT2_01_S063
CMN,ALL_005_M_CMN_ENG_HT2_01_S064
CMN,ALL_005_M_CMN_ENG_HT2_01_S065
CMN,ALL_005_M_CMN_ENG_HT2_01_S066
CMN,ALL_005_M_CMN_ENG_HT2_01_S067
CMN,ALL_005_M_CMN_ENG_HT2_01_S068
CMN,ALL_005_M_CMN_ENG_HT2_01_S069
CMN,ALL_005_M_CMN_ENG_HT2_01_S070
CMN,ALL_005_M_CMN_ENG_HT2_01_S071
CMN,ALL_005_M_CMN_ENG_HT2_01_S072
CMN,ALL_005_M_CMN_ENG_HT2_01_S073
CMN,ALL_005_M_CMN_ENG_HT2_01_S074
CMN,ALL_005_M_CMN_ENG_HT2_01_S075
CMN,ALL_005_M_CMN_ENG_HT2_01_S076
CMN,ALL_005_M_CMN_ENG_HT2_01_S077
CMN,ALL_005_M_CMN_ENG_HT2_01_S078
CMN,ALL_005_M_CMN_ENG_HT2_01_S079
CMN,ALL_005_M_CMN_ENG_HT2_01_S081
CMN,ALL_005_M_CMN_ENG_HT2_01_S082
CMN,ALL_005_M_CMN_ENG_HT2_01_S083
CMN,ALL_005_M_CMN_ENG_HT2_01_S084
CMN,ALL_005_M_CMN_ENG_HT2_01_S085
CMN,ALL_005_M_CMN_ENG_HT2_01_S086
CMN,ALL_005_M_CMN_ENG_HT2_01_S087
CMN,ALL_005_M_CMN_ENG_HT2_01_S088
CMN,ALL_005_M_CMN_ENG_HT2_01_S089
CMN,ALL_005_M_CMN_ENG_HT2_01_S090
CMN,ALL_005_M_CMN_ENG_HT2_01_S091
CMN,ALL_005_M_CMN_ENG_HT2_01_S092
CMN,ALL_005_M_CMN_ENG_HT2_01_S093
CMN,ALL_005_M_CMN_ENG_HT2_01_S094
CMN,ALL_005_M_CMN_ENG_HT2_01_S095
CMN,ALL_005_M_CMN_ENG_HT2_01_S096
CMN,ALL_005_M_CMN_ENG_HT2_01_S098
CMN,ALL_005_M_CMN_ENG_HT2_01_S099
CMN,ALL_005_M_CMN_ENG_HT2_01_S101
CMN,ALL_005_M_CMN_ENG_HT2_01_S102
CMN,ALL_005_M_CMN_ENG_HT2_01_S104
CMN,ALL_005_M_CMN_ENG_HT2_01_S105
CMN,ALL_005_M_CMN_ENG_HT2_01_S106
CMN,ALL_005_M_CMN_ENG_HT2_01_S107
CMN,ALL_005_M_CMN_ENG_HT2_01_S108
CMN,ALL_005_M_CMN_ENG_HT2_01_S109
CMN,ALL_005_M_CMN_ENG_HT2_01_S111
CMN,ALL_005_M_CMN_ENG_HT2_01_S113
CMN,ALL_005_M_CMN_ENG_HT2_01_S114
CMN,ALL_005_M_CMN_ENG_HT2_01_S115
CMN,ALL_005_M_CMN_ENG_HT2_01_S116
CMN,ALL_005_M_CMN_ENG_HT2_01_S118
CMN,ALL_005_M_CMN_ENG_HT2_01_S119
CMN,ALL_005_M_CMN_ENG_HT2_02_S080
CMN,ALL_011_F_CMN_ENG_HT1_01_S001
CMN,ALL_011_F_CMN_ENG_HT1_01_S002
CMN,ALL_011_F_CMN_ENG_HT1_01_S003
CMN,ALL_011_F_CMN_ENG_HT1_01_S004
CMN,ALL_011_F_CMN_ENG_HT1_01_S005
CMN,ALL_011_F_CMN_ENG_HT1_01_S006
CMN,ALL_011_F_CMN_ENG_HT1_01_S007
CMN,ALL_011_F_CMN_ENG_HT1_01_S008
CMN,ALL_011_F_CMN_ENG_HT1_01_S009
CMN,ALL_011_F_CMN_ENG_HT1_01_S010
CMN,ALL_011_F_CMN_ENG_HT1_01_S011
CMN,ALL_011_F_CMN_ENG_HT1_01_S012
CMN,ALL_011_F_CMN_ENG_HT1_01_S013
CMN,ALL_011_F_CMN_ENG_HT1_01_S014
CMN,ALL_011_F_CMN_ENG_HT1_01_S015
CMN,ALL_011_F_CMN_ENG_HT1_01_S016
CMN,ALL_011_F_CMN_ENG_HT1_01_S017
CMN,ALL_011_F_CMN_ENG_HT1_01_S018
CMN,ALL_011_F_CMN_ENG_HT1_01_S019
CMN,ALL_011_F_CMN_ENG_HT1_01_S020
CMN,ALL_011_F_CMN_ENG_HT1_01_S024
CMN,ALL_011_F_CMN_ENG_HT1_01_S030
CMN,ALL_011_F_CMN_ENG_HT1_01_S031
CMN,ALL_011_F_CMN_ENG_HT1_01_S032
CMN,ALL_011_F_CMN_ENG_HT1_01_S033
CMN,ALL_011_F_CMN_ENG_HT1_01_S036
CMN,ALL_011_F_CMN_ENG_HT1_01_S037
CMN,ALL_011_F_CMN_ENG_HT1_01_S038
CMN,ALL_011_F_CMN_ENG_HT1_01_S040
CMN,ALL_011_F_CMN_ENG_HT1_01_S041
CMN,ALL_011_F_CMN_ENG_HT1_01_S042
CMN,ALL_011_F_CMN_ENG_HT1_01_S043
CMN,ALL_011_F_CMN_ENG_HT1_01_S044
CMN,ALL_011_F_CMN_ENG_HT1_01_S046
CMN,ALL_011_F_CMN_ENG_HT1_01_S047
CMN,ALL_011_F_CMN_ENG_HT1_01_S049
CMN,ALL_011_F_CMN_ENG_HT1_01_S050
CMN,ALL_011_F_CMN_ENG_HT1_01_S051
CMN,ALL_011_F_CMN_ENG_HT1_01_S052
CMN,ALL_011_F_CMN_ENG_HT1_01_S053
CMN,ALL_011_F_CMN_ENG_HT1_01_S054
CMN,ALL_011_F_CMN_ENG_HT1_01_S055
CMN,ALL_011_F_CMN_ENG_HT1_01_S056
CMN,ALL_011_F_CMN_ENG_HT1_01_S058
CMN,ALL_011_F_CMN_ENG_HT1_01_S059
CMN,ALL_011_F_CMN_ENG_HT1_01_S060
CMN,ALL_011_F_CMN_ENG_HT1_02_S035
CMN,ALL_011_F_CMN_ENG_HT1_02_S039
CMN,ALL_011_F_CMN_ENG_HT1_02_S045
CMN,ALL_011_F_CMN_ENG_HT1_02_S057
CMN,ALL_011_F_CMN_ENG_HT2_01_S061
CMN,ALL_011_F_CMN_ENG_HT2_01_S062
CMN,ALL_011_F_CMN_ENG_HT2_01_S063
CMN,ALL_011_F_CMN_ENG_HT2_01_S064
CMN,ALL_011_F_CMN_ENG_HT2_01_S065
CMN,ALL_011_F_CMN_ENG_HT2_01_S066
CMN,ALL_011_F_CMN_ENG_HT2_01_S067
CMN,ALL_011_F_CMN_ENG_HT2_01_S068
CMN,ALL_011_F_CMN_ENG_HT2_01_S069
CMN,ALL_011_F_CMN_ENG_HT2_01_S070
CMN,ALL_011_F_CMN_ENG_HT2_01_S071
CMN,ALL_011_F_CMN_ENG_HT2_01_S072
CMN,ALL_011_F_CMN_ENG_HT2_01_S073
CMN,ALL_011_F_CMN_ENG_HT2_01_S074
CMN,ALL_011_F_CMN_ENG_HT2_01_S075
CMN,ALL_011_F_CMN_ENG_HT2_01_S076
CMN,ALL_011_F_CMN_ENG_HT2_01_S077
CMN,ALL_011_F_CMN_ENG_HT2_01_S078
CMN,ALL_011_F_CMN_ENG_HT2_01_S079
CMN,ALL_011_F_CMN_ENG_HT2_01_S080
CMN,ALL_011_F_CMN_ENG_HT2_01_S081
CMN,ALL_011_F_CMN_ENG_HT2_01_S082
CMN,ALL_011_F_CMN_ENG_HT2_01_S083
CMN,ALL_011_F_CMN_ENG_HT2_01_S084
CMN,ALL_011_F_CMN_ENG_HT2_01_S085
CMN,ALL_011_F_CMN_ENG_HT2_01_S086
CMN,ALL_011_F_CMN_ENG_HT2_01_S087
CMN,ALL_011_F_CMN_ENG_HT2_01_S088
CMN,ALL_011_F_CMN_ENG_HT2_01_S089
CMN,ALL_011_F_CMN_ENG_HT2_01_S090
CMN,ALL_011_F_CMN_ENG_HT2_01_S091
CMN,ALL_011_F_CMN_ENG_HT2_01_S092
CMN,ALL_011_F_CMN_ENG_HT2_01_S093
CMN,ALL_011_F_CMN_ENG_HT2_01_S094
CMN,ALL_011_F_CMN_ENG_HT2_01_S095
CMN,ALL_011_F_CMN_ENG_HT2_01_S096
CMN,ALL_011_F_CMN_ENG_HT2_01_S098
CMN,ALL_011_F_CMN_ENG_HT2_01_S099
CMN,ALL_011_F_CMN_ENG_HT2_01_S101
CMN,ALL_011_F_CMN_ENG_HT2_01_S102
CMN,ALL_011_F_CMN_ENG_HT2_01_S104
CMN,ALL_011_F_CMN_ENG_HT2_01_S105
CMN,ALL_011_F_CMN_ENG_HT2_01_S106
CMN,ALL_011_F_CMN_ENG_HT2_01_S107
CMN,ALL_011_F_CMN_ENG_HT2_01_S108
CMN,ALL_011_F_CMN_ENG_HT2_01_S109
CMN,ALL_011_F_CMN_ENG_HT2_01_S111
CMN,ALL_011_F_CMN_ENG_HT2_01_S113
CMN,ALL_011_F_CMN_ENG_HT2_01_S114
CMN,ALL_011_F_CMN_ENG_HT2_01_S115
CMN,ALL_011_F_CMN_ENG_HT2_01_S116
CMN,ALL_011_F_CMN_ENG_HT2_01_S118
CMN,ALL_011_F_CMN_ENG_HT2_01_S119
CMN,ALL_012_M_CMN_ENG_HT1_01_S001
CMN,ALL_012_M_CMN_ENG_HT1_01_S002
CMN,ALL_012_M_CMN_ENG_HT1_01_S003
CMN,ALL_012_M_CMN_ENG_HT1_01_S004
CMN,ALL_012_M_CMN_ENG_HT1_01_S005
CMN,ALL_012_M_CMN_ENG_HT1_01_S006
CMN,ALL_012_M_CMN_ENG_HT1_01_S007
CMN,ALL_012_M_CMN_ENG_HT1_01_S008
CMN,ALL_012_M_CMN_ENG_HT1_01_S009
CMN,ALL_012_M_CMN_ENG_HT1_01_S010
CMN,ALL_012_M_CMN_ENG_HT1_01_S011
CMN,ALL_012_M_CMN_ENG_HT1_01_S012
CMN,ALL_012_M_CMN_ENG_HT1_01_S013
CMN,ALL_012_M_CMN_ENG_HT1_01_S014
