,speaker1,speaker2,grp,part,sent,Distance
0,KEI_KF01_KO057_cnv,KEI_KF03_KO057_cnv,K,,KO057,0.20070132487967499
1,KEI_KF01_KO057_cnv,KEI_KF04_KO057_cnv,K,,KO057,0.2543756971347948
2,KEI_KF01_KO057_cnv,KEI_KF05_KO057_cnv,K,,KO057,0.2151889892907957
3,KEI_KF01_KO057_cnv,KEI_KF06_KO057_cnv,K,,KO057,0.2412438927758699
4,KEI_KF01_KO057_cnv,KEI_KM01_KO057_cnv,K,,KO057,0.2516166489169958
5,KEI_KF01_KO057_cnv,KEI_KM03_KO057_cnv,K,,KO057,0.2760474248793868
6,KEI_KF01_KO057_cnv,KEI_KM04_KO057_cnv,K,,KO057,0.2796625121993176
7,KEI_KF01_KO057_cnv,KEI_KM05_KO057_cnv,K,,KO057,0.2906558080102198
8,KEI_KF01_KO057_cnv,KEI_KM06_KO057_cnv,K,,KO057,0.2909405454742423
9,KEI_KF01_KO058_cnv,KEI_KF03_KO058_cnv,K,,KO058,0.2506710920772033
10,KEI_KF01_KO058_cnv,KEI_KF04_KO058_cnv,K,,KO058,0.2420809500479572
11,KEI_KF01_KO058_cnv,KEI_KF05_KO058_cnv,K,,KO058,0.2553742003039915
12,KEI_KF01_KO058_cnv,KEI_KF06_KO058_cnv,K,,KO058,0.2684781745222918
13,KEI_KF01_KO058_cnv,KEI_KM01_KO058_cnv,K,,KO058,0.2669882924991784
14,KEI_KF01_KO058_cnv,KEI_KM03_KO058_cnv,K,,KO058,0.2626739020826202
15,KEI_KF01_KO058_cnv,KEI_KM04_KO058_cnv,K,,KO058,0.2643751494598524
16,KEI_KF01_KO058_cnv,KEI_KM05_KO058_cnv,K,,KO058,0.2919849332686872
17,KEI_KF01_KO058_cnv,KEI_KM06_KO058_cnv,K,,KO058,0.2971265690856799
18,KEI_KF01_KO059_cnv,KEI_KF03_KO059_cnv,K,,KO059,0.2299331686254421
19,KEI_KF01_KO059_cnv,KEI_KF04_KO059_cnv,K,,KO059,0.2492567383546237
20,KEI_KF01_KO059_cnv,KEI_KF05_KO059_cnv,K,,KO059,0.2528723974288052
21,KEI_KF01_KO059_cnv,KEI_KF06_KO059_cnv,K,,KO059,0.2350410744240961
22,KEI_KF01_KO059_cnv,KEI_KM01_KO059_cnv,K,,KO059,0.2716758859662418
23,KEI_KF01_KO059_cnv,KEI_KM03_KO059_cnv,K,,KO059,0.2160355786276734
24,KEI_KF01_KO059_cnv,KEI_KM04_KO059_cnv,K,,KO059,0.2442782785338439
25,KEI_KF01_KO059_cnv,KEI_KM05_KO059_cnv,K,,KO059,0.2298015051821642
26,KEI_KF01_KO059_cnv,KEI_KM06_KO059_cnv,K,,KO059,0.2633133499578857
27,KEI_KF01_KO060_cnv,KEI_KF03_KO060_cnv,K,,KO060,0.3400047714530916
28,KEI_KF01_KO060_cnv,KEI_KF04_KO060_cnv,K,,KO060,0.3430116532639518
29,KEI_KF01_KO060_cnv,KEI_KF05_KO060_cnv,K,,KO060,0.2910975630710294
30,KEI_KF01_KO060_cnv,KEI_KF06_KO060_cnv,K,,KO060,0.3318615695376348
31,KEI_KF01_KO060_cnv,KEI_KM01_KO060_cnv,K,,KO060,0.3524798027059346
32,KEI_KF01_KO060_cnv,KEI_KM03_KO060_cnv,K,,KO060,0.3363949366269063
33,KEI_KF01_KO060_cnv,KEI_KM04_KO060_cnv,K,,KO060,0.3668746113487298
34,KEI_KF01_KO060_cnv,KEI_KM05_KO060_cnv,K,,KO060,0.360996838633753
35,KEI_KF01_KO060_cnv,KEI_KM06_KO060_cnv,K,,KO060,0.4134383031906304
36,KEI_KF01_KO061_cnv,KEI_KF03_KO061_cnv,K,,KO061,0.2544476737322783
37,KEI_KF01_KO061_cnv,KEI_KF04_KO061_cnv,K,,KO061,0.2809304603893641
38,KEI_KF01_KO061_cnv,KEI_KF05_KO061_cnv,K,,KO061,0.2255703159707764
39,KEI_KF01_KO061_cnv,KEI_KF06_KO061_cnv,K,,KO061,0.3535746748340632
40,KEI_KF01_KO061_cnv,KEI_KM01_KO061_cnv,K,,KO061,0.3704141962132658
41,KEI_KF01_KO061_cnv,KEI_KM03_KO061_cnv,K,,KO061,0.3204094934097588
42,KEI_KF01_KO061_cnv,KEI_KM04_KO061_cnv,K,,KO061,0.3867839661117389
43,KEI_KF01_KO061_cnv,KEI_KM05_KO061_cnv,K,,KO061,0.2661500920505031
44,KEI_KF01_KO061_cnv,KEI_KM06_KO061_cnv,K,,KO061,0.414552278759541
45,KEI_KF01_KO062_cnv,KEI_KF03_KO062_cnv,K,,KO062,0.2300798911804877
46,KEI_KF01_KO062_cnv,KEI_KF04_KO062_cnv,K,,KO062,0.2746532753466036
47,KEI_KF01_KO062_cnv,KEI_KF05_KO062_cnv,K,,KO062,0.2425421198386904
48,KEI_KF01_KO062_cnv,KEI_KF06_KO062_cnv,K,,KO062,0.2420025416320504
49,KEI_KF01_KO062_cnv,KEI_KM01_KO062_cnv,K,,KO062,0.3108753519170899
