,speaker1,speaker2,grp,part,sent,Distance
0,ALL_005_M_CMN_ENG_HT2_sent7,ALL_011_F_CMN_ENG_HT2_sent7,C,HT2,sent7,0.2450243273863639
1,ALL_005_M_CMN_ENG_HT2_sent7,ALL_012_M_CMN_ENG_HT2_sent7,C,HT2,sent7,0.2405115305350416
2,ALL_005_M_CMN_ENG_HT2_sent7,ALL_016_M_CMN_ENG_HT2_sent7,C,HT2,sent7,0.2729703795133031
3,ALL_005_M_CMN_ENG_HT2_sent7,ALL_018_F_CMN_ENG_HT2_sent7,C,HT2,sent7,0.2834123637888229
4,ALL_005_M_CMN_ENG_HT2_sent7,ALL_020_M_CMN_ENG_HT2_sent7,C,HT2,sent7,0.2401963252923671
5,ALL_005_M_CMN_ENG_HT2_sent7,ALL_021_M_CMN_ENG_HT2_sent7,C,HT2,sent7,0.1766638491104315
6,ALL_005_M_CMN_ENG_HT2_sent7,ALL_030_F_CMN_ENG_HT2_sent7,C,HT2,sent7,0.1866226085194163
7,ALL_005_M_CMN_ENG_HT2_sent7,ALL_032_M_CMN_ENG_HT2_sent7,C,HT2,sent7,0.1752439225061217
8,ALL_005_M_CMN_ENG_HT2_sent7,ALL_033_M_CMN_ENG_HT2_sent7,C,HT2,sent7,0.4310563468999218
9,ALL_005_M_CMN_ENG_HT2_sent7,ALL_035_M_CMN_ENG_HT2_sent7,C,HT2,sent7,0.2520836888574534
10,ALL_005_M_CMN_ENG_HT2_sent7,ALL_037_M_CMN_ENG_HT2_sent7,C,HT2,sent7,0.2695180303455071
11,ALL_005_M_CMN_ENG_HT2_sent7,ALL_039_M_CMN_ENG_HT2_sent7,C,HT2,sent7,0.2184349116540575
12,ALL_005_M_CMN_ENG_HT2_sent7,ALL_043_M_CMN_ENG_HT2_sent7,C,HT2,sent7,0.2404731839424593
13,ALL_005_M_CMN_ENG_HT2_sent7,ALL_049_F_ENG_ENG_HT2_sent7,BT,HT2,sent7,0.2816760949340825
14,ALL_005_M_CMN_ENG_HT2_sent7,ALL_050_M_ENG_ENG_HT2_sent7,BT,HT2,sent7,0.3161896155939972
15,ALL_005_M_CMN_ENG_HT2_sent7,ALL_051_F_ENG_ENG_HT2_sent7,BT,HT2,sent7,0.2445572125795234
16,ALL_005_M_CMN_ENG_HT2_sent7,ALL_052_M_ENG_ENG_HT2_sent7,BT,HT2,sent7,0.2676402907570513
17,ALL_005_M_CMN_ENG_HT2_sent7,ALL_053_M_ENG_ENG_HT2_sent7,BT,HT2,sent7,0.2080542212677779
18,ALL_005_M_CMN_ENG_HT2_sent7,ALL_055_M_ENG_ENG_HT2_sent7,BT,HT2,sent7,0.2725220183277306
19,ALL_005_M_CMN_ENG_HT2_sent7,ALL_056_F_ENG_ENG_HT2_sent7,BT,HT2,sent7,0.2651149850194652
20,ALL_005_M_CMN_ENG_HT2_sent7,ALL_057_M_ENG_ENG_HT2_sent7,BT,HT2,sent7,0.2160601789732616
21,ALL_005_M_CMN_ENG_HT2_sent7,ALL_058_F_ENG_ENG_HT2_sent7,BT,HT2,sent7,0.2329978401705375
22,ALL_005_M_CMN_ENG_HT2_sent7,ALL_059_M_ENG_ENG_HT2_sent7,BT,HT2,sent7,0.217272699315788
23,ALL_005_M_CMN_ENG_HT2_sent7,ALL_060_F_ENG_ENG_HT2_sent7,BT,HT2,sent7,0.23090975982354897
